Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,250,453,118,1602,"488,35","0,000%","134,19216","24,51","19,66","187,0"
/user_info_2,250,322,118,1266,"361,94","0,000%","110,76650","51,27","26,72","474,0"
/user_info_3,250,288,118,1268,"297,12","0,000%","104,55876","39,01","25,22","382,0"
/object_info_1,250,244,117,1271,"190,42","0,000%","104,69012","25,05","16,66","245,0"
/object_info_2,250,255,119,1241,"203,79","0,000%","73,52941","34,04","11,85","474,0"
/object_info_3,250,268,118,1152,"239,85","0,000%","57,76340","30,07","9,31","533,0"
/object_info_4,250,293,117,1261,"298,74","0,000%","45,15896","11,11","7,28","252,0"
TOTAL,1750,303,117,1602,"319,05","0,000%","278,17517","98,84","50,53","363,9"
