Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,50,594,119,1151,"503,67","0,000%","23,64066","4,32","3,46","187,0"
/user_info_2,50,585,119,1145,"500,56","0,000%","16,16554","7,48","3,90","474,0"
/user_info_3,50,504,118,1143,"487,27","0,000%","12,39465","4,62","2,99","382,0"
/object_info_1,50,606,118,1160,"504,04","0,000%","9,82898","2,35","1,56","245,0"
/object_info_2,50,424,119,1145,"461,17","0,000%","9,43574","4,37","1,52","474,0"
/object_info_3,50,627,119,1154,"504,71","0,000%","8,98796","4,68","1,45","533,0"
/object_info_4,50,430,117,1213,"464,77","0,000%","8,10504","1,99","1,31","252,0"
TOTAL,350,538,117,1213,"496,13","0,000%","48,22265","17,13","8,76","363,9"
